anchor,positive,negative,label
C:\Users\gaura\OneDrive\Desktop\Thesis\KinFaceW-II\KinFaceW-II\images\father-son\fs_211_1.jpg,C:\Users\gaura\OneDrive\Desktop\Thesis\KinFaceW-II\KinFaceW-II\images\father-son\fs_211_2.jpg,C:\Users\gaura\OneDrive\Desktop\Thesis\TSKinFace_Data\TSKinFace_Data\TSKinFace_cropped\FMSD\FMSD-7-F.jpg,father-son
C:\Users\gaura\OneDrive\Desktop\Thesis\lfw\lfw\Colin_Powell\Colin_Powell_0004.jpg,C:\Users\gaura\OneDrive\Desktop\Thesis\lfw\lfw\Colin_Powell\Colin_Powell_0165.jpg,augmentedv2_images\FMD-56-M_aug_1.jpg,similar face
augmentedv2_images\md_115_1_aug_1.jpg,augmentedv2_images\md_070_2_aug_2.jpg,C:\Users\gaura\OneDrive\Desktop\Thesis\TSKinFace_Data\TSKinFace_Data\TSKinFace_cropped\FMSD\FMSD-164-M.jpg,none
C:\Users\gaura\OneDrive\Desktop\Thesis\TSKinFace_Data\TSKinFace_Data\TSKinFace_cropped\FMS\FMS-126-M.jpg,C:\Users\gaura\OneDrive\Desktop\Thesis\TSKinFace_Data\TSKinFace_Data\TSKinFace_cropped\FMS\FMS-126-S.jpg,augmentedv2_images\FMS-171-F_aug_1.jpg,mother-son
C:\Users\gaura\OneDrive\Desktop\Thesis\KinFaceW-II\KinFaceW-II\images\father-dau\fd_144_1.jpg,C:\Users\gaura\OneDrive\Desktop\Thesis\KinFaceW-II\KinFaceW-II\images\father-dau\fd_144_2.jpg,augmentedv2_images\md_190_1_aug_1.jpg,father-dau
C:\Users\gaura\OneDrive\Desktop\Thesis\KinFaceW-II\KinFaceW-II\images\father-dau\fd_101_1.jpg,C:\Users\gaura\OneDrive\Desktop\Thesis\KinFaceW-II\KinFaceW-II\images\father-dau\fd_033_2.jpg,C:\Users\gaura\OneDrive\Desktop\Thesis\TSKinFace_Data\TSKinFace_Data\TSKinFace_cropped\FMS\FMS-57-F.jpg,none
augmentedv2_images\FMSD-21-M_aug_1.jpg,augmentedv2_images\FMSD-21-D_aug_2.jpg,augmentedv2_images\FMSD-212-F_aug_1.jpg,mother-dau
augmentedv2_images\FMD-255-M_aug_1.jpg,augmentedv2_images\FMD-255-D_aug_2.jpg,C:\Users\gaura\OneDrive\Desktop\Thesis\lfw\lfw\Colin_Powell\Colin_Powell_0049.jpg,mother-dau
C:\Users\gaura\OneDrive\Desktop\Thesis\TSKinFace_Data\TSKinFace_Data\TSKinFace_cropped\FMS\FMS-120-M.jpg,C:\Users\gaura\OneDrive\Desktop\Thesis\TSKinFace_Data\TSKinFace_Data\TSKinFace_cropped\FMS\FMS-120-S.jpg,C:\Users\gaura\OneDrive\Desktop\Thesis\TSKinFace_Data\TSKinFace_Data\TSKinFace_cropped\FMSD\FMSD-63-F.jpg,mother-son
C:\Users\gaura\OneDrive\Desktop\Thesis\lfw\lfw\Ari_Fleischer\Ari_Fleischer_0010.jpg,C:\Users\gaura\OneDrive\Desktop\Thesis\lfw\lfw\Ari_Fleischer\Ari_Fleischer_0011.jpg,augmentedv2_images\FMD-92-F_aug_1.jpg,similar face
C:\Users\gaura\OneDrive\Desktop\Thesis\TSKinFace_Data\TSKinFace_Data\TSKinFace_cropped\FMS\FMS-141-F.jpg,C:\Users\gaura\OneDrive\Desktop\Thesis\TSKinFace_Data\TSKinFace_Data\TSKinFace_cropped\FMS\FMS-141-S.jpg,C:\Users\gaura\OneDrive\Desktop\Thesis\lfw\lfw\Alvaro_Uribe\Alvaro_Uribe_0025.jpg,father-son
augmentedv2_images\FMS-107-F_aug_1.jpg,augmentedv2_images\FMS-107-S_aug_2.jpg,C:\Users\gaura\OneDrive\Desktop\Thesis\KinFaceW-II\KinFaceW-II\images\mother-son\ms_193_1.jpg,father-son
augmentedv2_images\ms_131_1_aug_1.jpg,augmentedv2_images\ms_112_2_aug_2.jpg,C:\Users\gaura\OneDrive\Desktop\Thesis\KinFaceW-II\KinFaceW-II\images\mother-dau\md_017_1.jpg,none
C:\Users\gaura\OneDrive\Desktop\Thesis\KinFaceW-II\KinFaceW-II\images\mother-dau\md_002_1.jpg,C:\Users\gaura\OneDrive\Desktop\Thesis\KinFaceW-II\KinFaceW-II\images\mother-dau\md_002_2.jpg,augmentedv2_images\FMSD-221-F_aug_1.jpg,mother-dau
C:\Users\gaura\OneDrive\Desktop\Thesis\TSKinFace_Data\TSKinFace_Data\TSKinFace_cropped\FMS\FMS-188-F.jpg,C:\Users\gaura\OneDrive\Desktop\Thesis\TSKinFace_Data\TSKinFace_Data\TSKinFace_cropped\FMS\FMS-188-S.jpg,C:\Users\gaura\OneDrive\Desktop\Thesis\KinFaceW-II\KinFaceW-II\images\mother-son\ms_008_1.jpg,father-son
C:\Users\gaura\OneDrive\Desktop\Thesis\KinFaceW-II\KinFaceW-II\images\father-dau\fd_183_1.jpg,C:\Users\gaura\OneDrive\Desktop\Thesis\KinFaceW-II\KinFaceW-II\images\father-dau\fd_183_2.jpg,C:\Users\gaura\OneDrive\Desktop\Thesis\KinFaceW-II\KinFaceW-II\images\mother-son\ms_081_1.jpg,father-dau
augmentedv2_images\fd_154_1_aug_1.jpg,augmentedv2_images\fd_016_2_aug_2.jpg,augmentedv2_images\ms_060_1_aug_1.jpg,none
augmentedv2_images\FMSD-169-F_aug_1.jpg,augmentedv2_images\FMSD-169-D_aug_2.jpg,C:\Users\gaura\OneDrive\Desktop\Thesis\TSKinFace_Data\TSKinFace_Data\TSKinFace_cropped\FMSD\FMSD-61-M.jpg,father-dau
augmentedv2_images\fs_116_1_aug_1.jpg,augmentedv2_images\fs_028_2_aug_2.jpg,augmentedv2_images\Colin_Powell_0067_aug_1.jpg,none
augmentedv2_images\FMSD-222-M_aug_1.jpg,augmentedv2_images\FMSD-222-D_aug_2.jpg,C:\Users\gaura\OneDrive\Desktop\Thesis\KinFaceW-II\KinFaceW-II\images\mother-dau\md_066_1.jpg,mother-dau
C:\Users\gaura\OneDrive\Desktop\Thesis\TSKinFace_Data\TSKinFace_Data\TSKinFace_cropped\FMD\FMD-69-F.jpg,C:\Users\gaura\OneDrive\Desktop\Thesis\TSKinFace_Data\TSKinFace_Data\TSKinFace_cropped\FMD\FMD-69-D.jpg,augmentedv2_images\Colin_Powell_0017_aug_1.jpg,father-dau
augmentedv2_images\FMS-24-M_aug_1.jpg,augmentedv2_images\FMS-24-S_aug_2.jpg,augmentedv2_images\fs_102_1_aug_1.jpg,mother-son
C:\Users\gaura\OneDrive\Desktop\Thesis\TSKinFace_Data\TSKinFace_Data\TSKinFace_cropped\FMSD\FMSD-168-F.jpg,C:\Users\gaura\OneDrive\Desktop\Thesis\TSKinFace_Data\TSKinFace_Data\TSKinFace_cropped\FMSD\FMSD-168-S.jpg,augmentedv2_images\Ariel_Sharon_0003_aug_1.jpg,father-son
augmentedv2_images\FMSD-74-F_aug_1.jpg,augmentedv2_images\FMSD-74-D_aug_2.jpg,augmentedv2_images\FMS-161-M_aug_1.jpg,father-dau
C:\Users\gaura\OneDrive\Desktop\Thesis\KinFaceW-II\KinFaceW-II\images\father-dau\fd_118_1.jpg,C:\Users\gaura\OneDrive\Desktop\Thesis\KinFaceW-II\KinFaceW-II\images\father-dau\fd_118_2.jpg,C:\Users\gaura\OneDrive\Desktop\Thesis\TSKinFace_Data\TSKinFace_Data\TSKinFace_cropped\FMS\FMS-211-F.jpg,father-dau
augmentedv2_images\FMS-251-M_aug_1.jpg,augmentedv2_images\FMS-251-S_aug_2.jpg,C:\Users\gaura\OneDrive\Desktop\Thesis\TSKinFace_Data\TSKinFace_Data\TSKinFace_cropped\FMS\FMS-69-F.jpg,mother-son
augmentedv2_images\FMS-10-M_aug_1.jpg,augmentedv2_images\FMS-10-S_aug_2.jpg,C:\Users\gaura\OneDrive\Desktop\Thesis\TSKinFace_Data\TSKinFace_Data\TSKinFace_cropped\FMS\FMS-113-F.jpg,mother-son
C:\Users\gaura\OneDrive\Desktop\Thesis\TSKinFace_Data\TSKinFace_Data\TSKinFace_cropped\FMS\FMS-273-F.jpg,C:\Users\gaura\OneDrive\Desktop\Thesis\TSKinFace_Data\TSKinFace_Data\TSKinFace_cropped\FMS\FMS-273-S.jpg,augmentedv2_images\md_025_1_aug_1.jpg,father-son
augmentedv2_images\FMSD-131-M_aug_1.jpg,augmentedv2_images\FMSD-131-S_aug_2.jpg,augmentedv2_images\md_168_1_aug_1.jpg,mother-son
C:\Users\gaura\OneDrive\Desktop\Thesis\TSKinFace_Data\TSKinFace_Data\TSKinFace_cropped\FMD\FMD-170-F.jpg,C:\Users\gaura\OneDrive\Desktop\Thesis\TSKinFace_Data\TSKinFace_Data\TSKinFace_cropped\FMD\FMD-170-D.jpg,augmentedv2_images\Colin_Powell_0071_aug_1.jpg,father-dau
C:\Users\gaura\OneDrive\Desktop\Thesis\TSKinFace_Data\TSKinFace_Data\TSKinFace_cropped\FMSD\FMSD-4-F.jpg,C:\Users\gaura\OneDrive\Desktop\Thesis\TSKinFace_Data\TSKinFace_Data\TSKinFace_cropped\FMSD\FMSD-4-D.jpg,augmentedv2_images\fs_091_1_aug_1.jpg,father-dau
augmentedv2_images\fs_009_1_aug_1.jpg,augmentedv2_images\fs_009_2_aug_2.jpg,augmentedv2_images\Colin_Powell_0002_aug_1.jpg,father-son
C:\Users\gaura\OneDrive\Desktop\Thesis\TSKinFace_Data\TSKinFace_Data\TSKinFace_cropped\FMSD\FMSD-144-F.jpg,C:\Users\gaura\OneDrive\Desktop\Thesis\TSKinFace_Data\TSKinFace_Data\TSKinFace_cropped\FMSD\FMSD-144-S.jpg,C:\Users\gaura\OneDrive\Desktop\Thesis\TSKinFace_Data\TSKinFace_Data\TSKinFace_cropped\FMD\FMD-174-F.jpg,father-son
augmentedv2_images\fd_120_1_aug_1.jpg,augmentedv2_images\fd_158_2_aug_2.jpg,C:\Users\gaura\OneDrive\Desktop\Thesis\TSKinFace_Data\TSKinFace_Data\TSKinFace_cropped\FMS\FMS-142-M.jpg,none
augmentedv2_images\Colin_Powell_0013_aug_1.jpg,augmentedv2_images\Colin_Powell_0193_aug_2.jpg,C:\Users\gaura\OneDrive\Desktop\Thesis\TSKinFace_Data\TSKinFace_Data\TSKinFace_cropped\FMD\FMD-45-M.jpg,similar face
augmentedv2_images\FMS-166-F_aug_1.jpg,augmentedv2_images\FMS-166-S_aug_2.jpg,augmentedv2_images\Bob_Stoops_0006_aug_1.jpg,father-son
C:\Users\gaura\OneDrive\Desktop\Thesis\KinFaceW-II\KinFaceW-II\images\mother-dau\md_164_1.jpg,C:\Users\gaura\OneDrive\Desktop\Thesis\KinFaceW-II\KinFaceW-II\images\mother-dau\md_030_2.jpg,augmentedv2_images\ms_249_1_aug_1.jpg,none
C:\Users\gaura\OneDrive\Desktop\Thesis\TSKinFace_Data\TSKinFace_Data\TSKinFace_cropped\FMS\FMS-207-F.jpg,C:\Users\gaura\OneDrive\Desktop\Thesis\TSKinFace_Data\TSKinFace_Data\TSKinFace_cropped\FMS\FMS-207-S.jpg,augmentedv2_images\FMD-209-M_aug_1.jpg,father-son
C:\Users\gaura\OneDrive\Desktop\Thesis\Cornell_Kin/KinshipVerification/Parents/Parent_095.jpg,C:\Users\gaura\OneDrive\Desktop\Thesis\Cornell_Kin/KinshipVerification/Children/Child_095.jpg,C:\Users\gaura\OneDrive\Desktop\Thesis\TSKinFace_Data\TSKinFace_Data\TSKinFace_cropped\FMSD\FMSD-228-F.jpg,father-dau
C:\Users\gaura\OneDrive\Desktop\Thesis\TSKinFace_Data\TSKinFace_Data\TSKinFace_cropped\FMSD\FMSD-4-M.jpg,C:\Users\gaura\OneDrive\Desktop\Thesis\TSKinFace_Data\TSKinFace_Data\TSKinFace_cropped\FMSD\FMSD-4-S.jpg,augmentedv2_images\FMD-167-M_aug_1.jpg,mother-son
C:\Users\gaura\OneDrive\Desktop\Thesis\Cornell_Kin/KinshipVerification/Parents/Parent_025.jpg,C:\Users\gaura\OneDrive\Desktop\Thesis\Cornell_Kin/KinshipVerification/Children/Child_025.jpg,augmentedv2_images\FMSD-110-M_aug_1.jpg,father-son
augmentedv2_images\fs_130_1_aug_1.jpg,augmentedv2_images\fs_060_2_aug_2.jpg,C:\Users\gaura\OneDrive\Desktop\Thesis\KinFaceW-II\KinFaceW-II\images\mother-dau\md_163_1.jpg,none
augmentedv2_images\FMSD-214-M_aug_1.jpg,augmentedv2_images\FMSD-214-S_aug_2.jpg,C:\Users\gaura\OneDrive\Desktop\Thesis\KinFaceW-II\KinFaceW-II\images\father-son\fs_088_1.jpg,mother-son
augmentedv2_images\fs_194_1_aug_1.jpg,augmentedv2_images\fs_194_2_aug_2.jpg,C:\Users\gaura\OneDrive\Desktop\Thesis\TSKinFace_Data\TSKinFace_Data\TSKinFace_cropped\FMD\FMD-185-M.jpg,father-son
augmentedv2_images\FMS-189-M_aug_1.jpg,augmentedv2_images\FMS-189-S_aug_2.jpg,augmentedv2_images\FMSD-99-F_aug_1.jpg,mother-son
augmentedv2_images\fd_206_1_aug_1.jpg,augmentedv2_images\fd_206_2_aug_2.jpg,augmentedv2_images\Colin_Powell_0021_aug_1.jpg,father-dau
augmentedv2_images\FMS-189-F_aug_1.jpg,augmentedv2_images\FMS-189-S_aug_2.jpg,augmentedv2_images\FMD-74-F_aug_1.jpg,father-son
augmentedv2_images\FMS-114-M_aug_1.jpg,augmentedv2_images\FMS-114-S_aug_2.jpg,C:\Users\gaura\OneDrive\Desktop\Thesis\KinFaceW-II\KinFaceW-II\images\father-dau\fd_213_1.jpg,mother-son
augmentedv2_images\FMSD-34-F_aug_1.jpg,augmentedv2_images\FMSD-34-S_aug_2.jpg,augmentedv2_images\ms_183_1_aug_1.jpg,father-son
C:\Users\gaura\OneDrive\Desktop\Thesis\TSKinFace_Data\TSKinFace_Data\TSKinFace_cropped\FMSD\FMSD-216-M.jpg,C:\Users\gaura\OneDrive\Desktop\Thesis\TSKinFace_Data\TSKinFace_Data\TSKinFace_cropped\FMSD\FMSD-216-D.jpg,augmentedv2_images\FMSD-129-F_aug_1.jpg,mother-dau
C:\Users\gaura\OneDrive\Desktop\Thesis\TSKinFace_Data\TSKinFace_Data\TSKinFace_cropped\FMSD\FMSD-117-F.jpg,C:\Users\gaura\OneDrive\Desktop\Thesis\TSKinFace_Data\TSKinFace_Data\TSKinFace_cropped\FMSD\FMSD-117-D.jpg,C:\Users\gaura\OneDrive\Desktop\Thesis\KinFaceW-II\KinFaceW-II\images\mother-son\ms_174_1.jpg,father-dau
augmentedv2_images\md_172_1_aug_1.jpg,augmentedv2_images\md_172_2_aug_2.jpg,C:\Users\gaura\OneDrive\Desktop\Thesis\KinFaceW-II\KinFaceW-II\images\father-dau\fd_145_1.jpg,mother-dau
augmentedv2_images\md_205_1_aug_1.jpg,augmentedv2_images\md_205_2_aug_2.jpg,C:\Users\gaura\OneDrive\Desktop\Thesis\TSKinFace_Data\TSKinFace_Data\TSKinFace_cropped\FMS\FMS-127-M.jpg,mother-dau
augmentedv2_images\FMSD-177-M_aug_1.jpg,augmentedv2_images\FMSD-177-S_aug_2.jpg,augmentedv2_images\FMSD-92-F_aug_1.jpg,mother-son
C:\Users\gaura\OneDrive\Desktop\Thesis\TSKinFace_Data\TSKinFace_Data\TSKinFace_cropped\FMSD\FMSD-166-F.jpg,C:\Users\gaura\OneDrive\Desktop\Thesis\TSKinFace_Data\TSKinFace_Data\TSKinFace_cropped\FMSD\FMSD-166-D.jpg,C:\Users\gaura\OneDrive\Desktop\Thesis\TSKinFace_Data\TSKinFace_Data\TSKinFace_cropped\FMS\FMS-271-M.jpg,father-dau
augmentedv2_images\FMSD-37-F_aug_1.jpg,augmentedv2_images\FMSD-37-S_aug_2.jpg,C:\Users\gaura\OneDrive\Desktop\Thesis\KinFaceW-II\KinFaceW-II\images\father-son\fs_076_1.jpg,father-son
augmentedv2_images\FMD-57-F_aug_1.jpg,augmentedv2_images\FMD-57-D_aug_2.jpg,C:\Users\gaura\OneDrive\Desktop\Thesis\KinFaceW-II\KinFaceW-II\images\mother-dau\md_091_1.jpg,father-dau
C:\Users\gaura\OneDrive\Desktop\Thesis\KinFaceW-II\KinFaceW-II\images\father-dau\fd_186_1.jpg,C:\Users\gaura\OneDrive\Desktop\Thesis\KinFaceW-II\KinFaceW-II\images\father-dau\fd_016_2.jpg,C:\Users\gaura\OneDrive\Desktop\Thesis\TSKinFace_Data\TSKinFace_Data\TSKinFace_cropped\FMSD\FMSD-53-F.jpg,none
C:\Users\gaura\OneDrive\Desktop\Thesis\lfw\lfw\Colin_Powell\Colin_Powell_0017.jpg,C:\Users\gaura\OneDrive\Desktop\Thesis\lfw\lfw\Colin_Powell\Colin_Powell_0022.jpg,C:\Users\gaura\OneDrive\Desktop\Thesis\KinFaceW-II\KinFaceW-II\images\mother-dau\md_094_1.jpg,similar face
C:\Users\gaura\OneDrive\Desktop\Thesis\TSKinFace_Data\TSKinFace_Data\TSKinFace_cropped\FMSD\FMSD-37-M.jpg,C:\Users\gaura\OneDrive\Desktop\Thesis\TSKinFace_Data\TSKinFace_Data\TSKinFace_cropped\FMSD\FMSD-37-S.jpg,augmentedv2_images\Colin_Powell_0039_aug_1.jpg,mother-son
augmentedv2_images\Colin_Powell_0008_aug_1.jpg,augmentedv2_images\Colin_Powell_0108_aug_2.jpg,C:\Users\gaura\OneDrive\Desktop\Thesis\TSKinFace_Data\TSKinFace_Data\TSKinFace_cropped\FMD\FMD-241-F.jpg,similar face
augmentedv2_images\ms_087_1_aug_1.jpg,augmentedv2_images\ms_106_2_aug_2.jpg,C:\Users\gaura\OneDrive\Desktop\Thesis\TSKinFace_Data\TSKinFace_Data\TSKinFace_cropped\FMS\FMS-250-F.jpg,none
C:\Users\gaura\OneDrive\Desktop\Thesis\lfw\lfw\Alejandro_Toledo\Alejandro_Toledo_0015.jpg,C:\Users\gaura\OneDrive\Desktop\Thesis\lfw\lfw\Alejandro_Toledo\Alejandro_Toledo_0020.jpg,C:\Users\gaura\OneDrive\Desktop\Thesis\Cornell_Kin/KinshipVerification/Parents/Parent_014.jpg,similar face
C:\Users\gaura\OneDrive\Desktop\Thesis\TSKinFace_Data\TSKinFace_Data\TSKinFace_cropped\FMS\FMS-128-M.jpg,C:\Users\gaura\OneDrive\Desktop\Thesis\TSKinFace_Data\TSKinFace_Data\TSKinFace_cropped\FMS\FMS-128-S.jpg,augmentedv2_images\fs_076_1_aug_1.jpg,mother-son
C:\Users\gaura\OneDrive\Desktop\Thesis\TSKinFace_Data\TSKinFace_Data\TSKinFace_cropped\FMS\FMS-148-M.jpg,C:\Users\gaura\OneDrive\Desktop\Thesis\TSKinFace_Data\TSKinFace_Data\TSKinFace_cropped\FMS\FMS-148-S.jpg,C:\Users\gaura\OneDrive\Desktop\Thesis\TSKinFace_Data\TSKinFace_Data\TSKinFace_cropped\FMSD\FMSD-197-F.jpg,mother-son
augmentedv2_images\Colin_Farrell_0001_aug_1.jpg,augmentedv2_images\Colin_Farrell_0005_aug_2.jpg,augmentedv2_images\FMS-205-M_aug_1.jpg,similar face
